County & State,FIPS,2017,2018,2019,2020,2021
"Phillips County,  Colorado",08095,157629,143881,165671,165356,176411
"Pitkin County,  Colorado",08097,738421,644102,664178,642540,685499
"Prowers County,  Colorado",08099,103976,102431,100255,110689,118089
"Pueblo County,  Colorado",08101,167602,180436,185826,204957,224864
"Rio Blanco County,  Colorado",08103,243642,218100,216385,205625,219373
"Rio Grande County,  Colorado",08105,159057,155166,171851,179439,191437
"Routt County,  Colorado",08107,469439,499787,543999,558453,595791
"Saguache County,  Colorado",08109,174522,162870,159279,159305,169956
"San Juan County,  Colorado",08111,265531,292319,305453,336345,358832
"San Miguel County,  Colorado",08113,610057,526262,523224,500031,533463
"Sedgwick County,  Colorado",08115,103262,99284,93010,101300,108073
"Summit County,  Colorado",08117,569608,594297,599827,604670,645097
"Teller County,  Colorado",08119,298780,288695,300236,312760,340339
"Washington County,  Colorado",08121,134669,130534,147773,157844,168397
"Weld County,  Colorado",08123,289821,323476,338087,382411,404631
"Yuma County,  Colorado",08125,162269,161459,182825,200096,213474
"Fairfield County,  Connecticut",09001,424933,432893,445210,465803,497400
"Hartford County,  Connecticut",09003,239986,243389,252503,254597,268312
"Litchfield County,  Connecticut",09005,248337,264066,265139,275001,293879
"Middlesex County,  Connecticut",09007,284462,283988,296484,304302,320696
"New Haven County,  Connecticut",09009,246647,248989,262445,264540,282839
"New London County,  Connecticut",09011,249564,243392,247745,268948,290253
"Tolland County,  Connecticut",09013,248439,246015,274441,275107,289928
"Windham County,  Connecticut",09015,198030,201164,214617,229203,244937
"Kent County,  Delaware",10001,229269,229588,248889,238098,252152
"New Castle County,  Delaware",10003,272647,272047,286459,285625,300920
"District of Columbia,  District of Columbia",11001,589949,634072,644821,670970,706815
"Alachua County,  Florida",12001,192363,185926,205378,230659,242978
"Baker County,  Florida",12003,146831,130879,129431,145377,156150
"Bay County,  Florida",12005,183516,186281,186159,213931,227542
"Bradford County,  Florida",12007,108400,95480,102737,116456,124086
