County & State,FIPS,2017,2018,2019,2020,2021
"Moody County,  South Dakota",46101,142743,123322,131338,137081,144547
"Perkins County,  South Dakota",46105,75610,77063,95595,104579,110275
"Potter County,  South Dakota",46107,87574,84634,94127,104887,110599
"Roberts County,  South Dakota",46109,105576,99259,107230,106220,112005
"Sanborn County,  South Dakota",46111,88038,75507,80396,89815,94707
"Spink County,  South Dakota",46115,86180,80174,83646,84894,89517
"Stanley County,  South Dakota",46117,144137,164187,173790,167429,176548
"Sully County,  South Dakota",46119,109874,126848,157648,147744,155790
"Todd County,  South Dakota",46121,50755,39931,35114,26657,28109
"Tripp County,  South Dakota",46123,82696,88991,93708,103759,109410
"Walworth County,  South Dakota",46129,88967,85464,86895,90430,95355
"Yankton County,  South Dakota",46135,149479,145621,149577,152050,160331
"Ziebach County,  South Dakota",46137,76307,59223,59642,59159,62381
"Union County,  South Dakota",46127,188132,169018,178611,187368,194328
"Lincoln County,  South Dakota",46083,228644,220321,228949,239444,252576
"McCook County,  South Dakota",46087,129320,126813,130199,144210,152120
"Minnehaha County,  South Dakota",46099,178626,200043,205676,226258,238667
"Turner County,  South Dakota",46125,117746,115991,120554,128094,135119
"Meade County,  South Dakota",46093,186817,174896,188751,199469,219069
"Pennington County,  South Dakota",46103,184712,199407,199731,210987,231719
"Grainger County,  Tennessee",47057,103193,117526,124862,126214,136282
"Hamblen County,  Tennessee",47063,132951,139417,145434,146137,157794
"Jefferson County,  Tennessee",47089,137876,145261,156435,155039,167406
"Hamilton County,  Tennessee",47065,178584,187219,194298,232656,248559
"Marion County,  Tennessee",47115,135772,127980,131772,133355,142471
"Sequatchie County,  Tennessee",47153,154695,145825,150978,151179,161512
"Fayette County,  Tennessee",47047,207186,195566,203553,219020,231898
"Shelby County,  Tennessee",47157,146700,157087,167888,181086,191734
"Tipton County,  Tennessee",47167,159181,150533,155220,158940,168286
"Chester County,  Tennessee",47023,116808,118540,115997,128974,138731
"Madison County,  Tennessee",47113,141673,136665,135566,131408,141349
"Bedford County,  Tennessee",47003,128441,138060,149716,159727,171704
"Benton County,  Tennessee",47005,95913,94418,91428,90487,97273
"Bledsoe County,  Tennessee",47007,128107,137954,137888,142285,152955
"Campbell County,  Tennessee",47013,99244,98675,103575,110361,118636
"Carroll County,  Tennessee",47017,92694,92395,92813,93341,100341
"Claiborne County,  Tennessee",47025,112676,109320,114551,116280,125000
"Clay County,  Tennessee",47027,104351,96121,94518,103807,111591
"Cocke County,  Tennessee",47029,110456,114110,118281,119346,128296
"Coffee County,  Tennessee",47031,125554,125606,135543,150002,161250
"Crockett County,  Tennessee",47033,102131,102933,105387,105287,113181
"Cumberland County,  Tennessee",47035,154861,149876,152380,161947,174091
"Decatur County,  Tennessee",47039,100466,97717,100911,104441,112273
"DeKalb County,  Tennessee",47041,135212,139551,146838,157084,168863
"Dyer County,  Tennessee",47045,109679,104423,105600,109727,117955
"Fentress County,  Tennessee",47049,105794,110384,106985,116703,125455
"Franklin County,  Tennessee",47051,122890,128374,137355,147147,158182
"Gibson County,  Tennessee",47053,99023,100911,101125,104229,112046
"Giles County,  Tennessee",47055,120004,128161,131387,137105,147386
"Greene County,  Tennessee",47059,114975,123158,139060,142073,152727
"Grundy County,  Tennessee",47061,89253,87711,88551,92179,99091
"Hancock County,  Tennessee",47067,89253,88882,94625,108458,116591
"Hardeman County,  Tennessee",47069,92140,90905,91854,95350,102500
"Hardin County,  Tennessee",47071,107570,114323,123395,131397,141250
"Haywood County,  Tennessee",47075,110012,111023,108903,106449,114432
"Henderson County,  Tennessee",47077,102907,98675,99633,107824,115909
"Henry County,  Tennessee",47079,104684,103252,107838,109198,117386
"Houston County,  Tennessee",47083,104572,101017,104748,109620,117841
"Humphreys County,  Tennessee",47085,118116,109639,111035,120297,129318
"Jackson County,  Tennessee",47087,112565,114642,114018,133300,143296
"Johnson County,  Tennessee",47091,122668,121455,126486,140699,151250
"Lake County,  Tennessee",47095,79484,79940,79387,85942,92386
"Lauderdale County,  Tennessee",47097,90031,86221,89616,88901,95568
"Lawrence County,  Tennessee",47099,109457,105169,109969,118923,127841
"Lewis County,  Tennessee",47101,99467,93992,95584,101058,108636
"Lincoln County,  Tennessee",47103,121114,125074,132133,143448,154205
"McMinn County,  Tennessee",47107,125665,131674,133519,140805,151364
"McNairy County,  Tennessee",47109,94360,93140,99739,103701,111477
"Marshall County,  Tennessee",47117,124666,126990,132879,144188,155000
"Maury County,  Tennessee",47119,159148,200758,227291,222096,238750
"Meigs County,  Tennessee",47121,110456,126032,131494,144399,155227
"Monroe County,  Tennessee",47123,126109,122626,130641,141334,151932
"Moore County,  Tennessee",47127,169293,176701,179339,197782,212613
"Morgan County,  Tennessee",47129,103129,97504,104854,107824,115909
"Obion County,  Tennessee",47131,97468,93247,95051,96724,103977
"Overton County,  Tennessee",47133,112455,122094,122863,132031,141932
"Perry County,  Tennessee",47135,88698,89627,88870,93130,100114
"Pickett County,  Tennessee",47137,118449,138060,161863,152645,164091
"Putnam County,  Tennessee",47141,163854,170740,172626,182877,196591
"Rhea County,  Tennessee",47143,118116,121561,120945,129600,139318
"Roane County,  Tennessee",47145,133214,144660,147158,158881,170796
"Scott County,  Tennessee",47151,94027,92288,96329,104652,112500
"Sevier County,  Tennessee",47155,177652,197884,199052,208882,224545
"Van Buren County,  Tennessee",47175,100687,101123,98887,103595,111364
"Warren County,  Tennessee",47177,108459,115600,115297,118923,127841
"Wayne County,  Tennessee",47181,91362,102614,112526,100635,108182
"Weakley County,  Tennessee",47183,104462,100378,102297,103384,111136
"White County,  Tennessee",47185,108680,103998,117535,123680,132955
"Anderson County,  Tennessee",47001,138348,164426,161416,170920,184194
"Blount County,  Tennessee",47009,182314,185933,208729,205167,221101
"Knox County,  Tennessee",47093,181561,190912,202484,215485,232220
"Loudon County,  Tennessee",47105,199173,204473,211057,236650,255029
"Union County,  Tennessee",47173,119504,120989,127016,132630,142931
"Carter County,  Tennessee",47019,115634,120708,129836,128226,136925
"Unicoi County,  Tennessee",47171,113183,127659,142211,135443,144631
"Washington County,  Tennessee",47179,159375,171160,180967,178847,190981
"Bradley County,  Tennessee",47011,162821,174870,175578,177292,189413
"Polk County,  Tennessee",47139,118555,116756,120149,120876,129140
"Hawkins County,  Tennessee",47073,115782,120006,127886,128966,134464
"Sullivan County,  Tennessee",47163,138077,148500,157215,163259,170220
"Cannon County,  Tennessee",47015,164626,164545,163620,173947,185270
"Cheatham County,  Tennessee",47021,210886,184815,185851,198041,210933
"Davidson County,  Tennessee",47037,221296,271207,291946,306890,326868
"Dickson County,  Tennessee",47043,185967,158583,164990,174052,185383
"Hickman County,  Tennessee",47081,124331,113599,117263,122798,130792
"Macon County,  Tennessee",47111,133477,121078,118527,121530,129442
"Robertson County,  Tennessee",47147,194840,186767,230206,257961,274754
"Rutherford County,  Tennessee",47149,198250,234786,246853,273707,291525
"Smith County,  Tennessee",47159,151106,130834,139177,155241,165347
"Sumner County,  Tennessee",47165,221884,258416,264131,290933,309872
"Trousdale County,  Tennessee",47169,171519,138747,140336,164541,175253
"Williamson County,  Tennessee",47187,446709,489301,486751,516345,549959
"Wilson County,  Tennessee",47189,274445,282047,291524,338277,360298
"Montgomery County,  Tennessee",47125,164146,182140,189607,186901,199235
"Stewart County,  Tennessee",47161,131921,141712,131468,131772,140469
"Cameron County,  Texas",48061,85933,92886,92346,92149,97395
"Midland County,  Texas",48329,202942,220337,228517,261385,265612
"Bell County,  Texas",48027,143505,158485,163741,171930,184549
"Coryell County,  Texas",48099,122497,124031,125979,141171,151533
"Lampasas County,  Texas",48281,148005,147287,152434,171400,183980
"Calhoun County,  Texas",48057,115619,117580,120570,125437,131507
"Goliad County,  Texas",48175,130803,133953,135143,143804,150762
"Victoria County,  Texas",48469,136547,143572,151394,157057,164657
"Webb County,  Texas",48479,121082,140892,140028,146912,149388
"Smith County,  Texas",48423,156784,163713,176760,176006,185009
"Gregg County,  Texas",48183,129305,141749,148934,153281,161676
"Rusk County,  Texas",48401,106062,114553,125080,129883,136997
"Upshur County,  Texas",48459,98008,114965,130674,146833,154875
"Hardin County,  Texas",48199,114181,120104,124825,129524,133367
"Jefferson County,  Texas",48245,108577,113839,130858,129003,132830
"Orange County,  Texas",48361,115136,113732,124305,132447,136376
"Grayson County,  Texas",48181,131038,151441,167903,176235,189238
"Atascosa County,  Texas",48013,113801,101521,106300,102301,107790
"Bandera County,  Texas",48019,181709,175259,177803,182031,191798
"Bexar County,  Texas",48029,159356,169132,180031,194257,204680
"Comal County,  Texas",48091,268359,298226,304365,322473,339776
"Guadalupe County,  Texas",48187,195018,200719,222996,234174,246739
"Kendall County,  Texas",48259,349737,314495,346694,364167,383707
"Medina County,  Texas",48325,155590,141982,148310,143995,151721
"Wilson County,  Texas",48493,198623,180224,192231,208573,219764
"Ector County,  Texas",48135,124985,163767,156471,167555,164048
"Crosby County,  Texas",48107,61778,59754,60543,63888,66960
"Lubbock County,  Texas",48303,132912,143099,155652,161296,169053
"Austin County,  Texas",48015,197253,185005,195355,203210,211714
"Brazoria County,  Texas",48039,176987,206124,212626,234577,244393
"Chambers County,  Texas",48071,189966,181098,192046,207455,216136
"Fort Bend County,  Texas",48157,257886,278775,286362,295654,308026
"Galveston County,  Texas",48167,188190,217951,209213,230023,239647
"Harris County,  Texas",48201,168046,183737,193494,204349,212900
"Liberty County,  Texas",48291,114292,104751,119654,146171,152287
"Montgomery County,  Texas",48339,216844,248574,253372,273501,284945
"San Jacinto County,  Texas",48407,110310,101267,112725,118117,123059
"Waller County,  Texas",48473,181171,166419,180877,204349,212900
"Armstrong County,  Texas",48011,119265,132471,144286,144325,152899
"Carson County,  Texas",48065,104833,111045,116414,118085,125099
"Potter County,  Texas",48375,96483,93946,96924,104447,110652
"Randall County,  Texas",48381,163588,179136,180856,185030,196021
"El Paso County,  Texas",48141,117291,125710,130379,131683,139960
"Aransas County,  Texas",48007,170093,164552,165903,166051,175737
"Nueces County,  Texas",48355,130112,143530,147783,162980,172487
"San Patricio County,  Texas",48409,136819,125200,139823,133434,141217
"Callahan County,  Texas",48059,84856,80722,90854,99589,103487
"Jones County,  Texas",48253,79123,77134,76971,86472,89856
"Taylor County,  Texas",48441,121340,128838,133014,154579,160628
"Archer County,  Texas",48009,116658,130152,144213,153530,163229
"Clay County,  Texas",48077,90722,90360,97438,106064,112764
"Wichita County,  Texas",48485,105146,104349,107485,118875,126385
"Anderson County,  Texas",48001,95534,97307,98138,106587,112538
"Andrews County,  Texas",48003,128453,133558,143246,150519,158923
"Angelina County,  Texas",48005,103309,118400,115463,103867,109667
"Bailey County,  Texas",48017,67103,72079,72468,72906,76977
"Baylor County,  Texas",48023,93691,71231,74475,64852,68472
"Bee County,  Texas",48025,83908,83208,93173,94767,100058
"Blanco County,  Texas",48031,201427,244645,248990,257734,272124
"Borden County,  Texas",48033,96109,113312,119477,160351,169304
"Bosque County,  Texas",48035,102210,113100,116836,127298,134405
"Brewster County,  Texas",48043,129719,120202,141872,158364,167206
"Briscoe County,  Texas",48045,69060,69641,69088,69036,72890
"Brooks County,  Texas",48047,59968,65613,67609,70918,74878
"Brown County,  Texas",48049,104051,100804,102997,107215,113201
"Burnet County,  Texas",48053,182896,181364,192896,200832,212045
"Camp County,  Texas",48063,89893,88614,92434,106273,112207
"Cass County,  Texas",48067,93232,91371,91060,91107,96193
"Castro County,  Texas",48069,81261,85116,86518,85667,90450
"Cherokee County,  Texas",48073,97260,104090,106378,107633,113643
"Childress County,  Texas",48075,84369,85859,84511,89433,94426
"Cochran County,  Texas",48079,37177,35297,36023,40585,42850
"Coke County,  Texas",48081,90929,86706,83560,72278,76314
"Coleman County,  Texas",48083,69060,69853,73947,80019,84487
"Collingsworth County,  Texas",48087,73895,59147,54721,54601,57650
"Colorado County,  Texas",48089,126380,123700,122858,130122,137387
"Comanche County,  Texas",48093,82987,94974,107117,109830,115962
"Concho County,  Texas",48095,98987,116386,98772,106169,112097
"Cooke County,  Texas",48097,141229,153380,153915,168510,177919
"Cottle County,  Texas",48101,49378,47381,43840,48743,51465
"Crane County,  Texas",48103,87361,86389,97082,105018,110882
"Crockett County,  Texas",48105,90929,85435,84405,93721,98954
"Culberson County,  Texas",48109,69865,60418,60108,65270,68914
"Dallam County,  Texas",48111,83794,81618,87469,93303,98512
"Dawson County,  Texas",48115,71477,70383,71095,76776,81063
"Deaf Smith County,  Texas",48117,99792,93278,96976,95290,100610
"DeWitt County,  Texas",48123,113028,105998,112188,122486,129325
"Dickens County,  Texas",48125,57090,57451,57150,53450,56434
"Dimmit County,  Texas",48127,66989,69111,77961,76149,80400
"Donley County,  Texas",48129,68945,69005,73419,71860,75872
"Duval County,  Texas",48131,60773,51409,52608,51672,54557
"Eastland County,  Texas",48133,69176,63387,72362,77299,81615
"Edwards County,  Texas",48137,81606,77167,79546,72383,76424
"Erath County,  Texas",48143,140077,135996,154232,167255,176594
"Falls County,  Texas",48145,74700,66779,69933,78763,83161
"Fannin County,  Texas",48147,108885,104090,119583,128762,135951
"Fayette County,  Texas",48149,158954,168220,174303,190476,201111
"Fisher County,  Texas",48151,74700,64129,63489,69977,73884
"Floyd County,  Texas",48153,75161,64129,67503,67258,71013
"Foard County,  Texas",48155,64341,50243,47749,48534,51244
"Franklin County,  Texas",48159,118784,138116,145042,132005,139375
"Freestone County,  Texas",48161,93691,91265,104371,116943,123472
"Frio County,  Texas",48163,78729,80453,79546,85981,90781
"Gaines County,  Texas",48165,106583,117658,129724,157841,166654
"Garza County,  Texas",48169,92771,82148,80708,82425,87026
"Gillespie County,  Texas",48171,274285,286090,291668,300097,316852
"Glasscock County,  Texas",48173,218922,205213,234200,239743,253128
"Gonzales County,  Texas",48177,102670,98472,118526,126879,133964
"Gray County,  Texas",48179,86096,76001,81975,81169,85701
"Grimes County,  Texas",48185,121316,116704,131520,155331,164003
"Hale County,  Texas",48189,84484,85010,84828,86504,91334
"Hall County,  Texas",48191,42011,51621,50918,55228,58312
"Hamilton County,  Texas",48193,111187,115008,134161,136816,144456
"Hansford County,  Texas",48195,93577,99108,102892,99684,105249
"Hardeman County,  Texas",48197,52485,40703,40248,45082,47599
"Harrison County,  Texas",48203,117806,150200,146098,157214,165991
"Hartley County,  Texas",48205,169544,155712,169022,174891,184656
"Haskell County,  Texas",48207,55479,52151,54298,56379,59527
"Hemphill County,  Texas",48211,142034,138540,142612,158678,167538
"Henderson County,  Texas",48213,116840,122958,112294,125311,132307
"Hill County,  Texas",48217,97835,99320,104265,108575,114637
"Hockley County,  Texas",48219,93922,87236,93807,97905,103372
"Hood County,  Texas",48221,176105,181045,191100,202400,213701
"Hopkins County,  Texas",48223,106813,103030,105744,120185,126895
"Houston County,  Texas",48225,88052,85010,89264,105332,111213
"Howard County,  Texas",48227,84944,90841,98349,103553,109336
"Hudspeth County,  Texas",48229,49033,46745,48594,53241,56214
"Hutchinson County,  Texas",48233,84599,80028,81659,82425,87026
"Jack County,  Texas",48237,88282,86283,87680,90270,95309
"Jackson County,  Texas",48239,100828,102500,109125,119244,125901
"Jasper County,  Texas",48241,99562,103242,110498,105541,111434
"Jeff Davis County,  Texas",48243,107389,117976,119266,117047,123582
"Jim Hogg County,  Texas",48247,78844,65507,70566,67990,71786
"Jim Wells County,  Texas",48249,80685,78227,80602,79705,84155
"Karnes County,  Texas",48255,100367,99744,103314,107006,112980
"Kent County,  Texas",48263,83217,74729,41938,36610,38654
"Kerr County,  Texas",48265,182090,173838,180219,188907,199454
"Kimble County,  Texas",48267,98296,113630,174303,156586,165329
"King County,  Texas",48269,84024,41127,40460,38388,40531
"Kinney County,  Texas",48271,83103,68051,76905,71964,75982
"Kleberg County,  Texas",48273,93002,92006,93173,96127,101494
"Knox County,  Texas",48275,49378,47063,46270,47070,49698
"Lamar County,  Texas",48277,98871,93385,100145,103658,109446
"Lamb County,  Texas",48279,71363,66461,68348,68513,72338
"La Salle County,  Texas",48283,80685,75047,86201,86085,90892
"Lavaca County,  Texas",48285,137315,151896,164373,169870,179354
"Lee County,  Texas",48287,133287,146596,132788,145080,153180
"Leon County,  Texas",48289,118324,108436,116308,116106,122588
"Limestone County,  Texas",48293,96109,89886,95075,99788,105360
"Lipscomb County,  Texas",48295,107043,97942,91166,105541,111434
"Live Oak County,  Texas",48297,100023,89993,100040,108888,114968
"Llano County,  Texas",48299,184852,195568,196593,203760,215137
"Lynn County,  Texas",48305,80455,81407,83771,87864,92770
"McCulloch County,  Texas",48307,77693,86919,90427,98010,103482
"McMullen County,  Texas",48311,79764,79181,112611,116001,122478
"Madison County,  Texas",48313,118669,107800,119160,118302,124908
"Marion County,  Texas",48315,98412,93914,98244,100939,106574
"Martin County,  Texas",48317,114410,127728,140605,154808,163451
"Mason County,  Texas",48319,178176,165782,172825,180748,190840
"Matagorda County,  Texas",48321,107850,108331,113561,120080,126785
"Maverick County,  Texas",48323,102094,100804,100145,102403,108120
"Menard County,  Texas",48327,64687,64447,60214,62027,65491
"Milam County,  Texas",48331,92771,93808,102575,112340,118612
"Mills County,  Texas",48333,138236,117870,130358,146649,154837
"Mitchell County,  Texas",48335,55824,69641,73947,72174,76204
"Montague County,  Texas",48337,110496,113524,119055,120708,127447
"Moore County,  Texas",48341,107043,112782,121590,127507,134626
"Morris County,  Texas",48343,79764,87236,91166,94558,99837
"Motley County,  Texas",48345,61118,60737,58946,59099,62398
"Nacogdoches County,  Texas",48347,115014,150094,152542,135247,142799
"Navarro County,  Texas",48349,93577,94232,100357,102089,107789
"Newton County,  Texas",48351,86210,77697,78806,84935,89677
"Nolan County,  Texas",48353,65837,70065,76060,78972,83382
"Ochiltree County,  Texas",48357,96914,108542,104899,107424,113422
"Oldham County,  Texas",48359,100253,92218,101096,95604,100942
"Palo Pinto County,  Texas",48363,95303,93914,101307,111921,118171
"Panola County,  Texas",48365,105663,103030,103843,106901,112870
"Parmer County,  Texas",48369,99447,91371,97504,102089,107789
"Pecos County,  Texas",48371,79189,72715,79334,91316,96414
"Polk County,  Texas",48373,93807,89993,99617,115269,121705
"Presidio County,  Texas",48377,68369,53741,61693,78554,82940
"Rains County,  Texas",48379,113259,120838,127928,133783,141253
"Reagan County,  Texas",48383,95418,93702,99406,103344,109115
"Real County,  Texas",48385,126380,111404,108808,118407,125018
"Red River County,  Texas",48387,79650,69111,70989,74371,78523
"Reeves County,  Texas",48389,51335,56073,65707,67781,71565
"Refugio County,  Texas",48391,85749,85646,87152,89537,94536
"Roberts County,  Texas",48393,125805,143840,139548,139118,146885
"Runnels County,  Texas",48399,80571,81088,81975,85144,89898
"Sabine County,  Texas",48403,97260,97624,106906,121649,128441
"San Augustine County,  Texas",48405,90929,86813,91589,92048,97187
"San Saba County,  Texas",48411,83678,102818,103420,114432,120821
"Schleicher County,  Texas",48413,91160,77273,73736,81379,85922
"Scurry County,  Texas",48415,102555,95187,93067,89433,94426
"Shackelford County,  Texas",48417,90929,83633,84828,95604,100942
"Shelby County,  Texas",48419,86440,77485,76694,81692,86253
"Sherman County,  Texas",48421,91736,92006,103948,104390,110219
"Somervell County,  Texas",48425,160911,182530,202403,229074,241863
"Starr County,  Texas",48427,74930,71231,72151,75207,79406
"Stephens County,  Texas",48429,96569,77803,75426,77717,82057
"Sterling County,  Texas",48431,99332,70065,68348,61714,65160
"Stonewall County,  Texas",48433,57204,56921,61482,58158,61405
"Sutton County,  Texas",48435,101519,101228,101096,96022,101384
"Swisher County,  Texas",48437,77348,75047,77961,84307,89015
"Terrell County,  Texas",48443,73895,70595,76165,79914,84376
"Terry County,  Texas",48445,73895,72079,80391,80019,84487
"Throckmorton County,  Texas",48447,74125,72715,71834,58890,62178
"Titus County,  Texas",48449,112223,102076,103103,109934,116072
"Trinity County,  Texas",48455,93232,79817,84194,87550,92438
"Tyler County,  Texas",48457,93922,86389,90215,92152,97298
"Upton County,  Texas",48461,66298,66673,69404,69977,73884
"Uvalde County,  Texas",48463,88628,82467,85250,93094,98291
"Val Verde County,  Texas",48465,106353,100168,101307,108156,114195
"Van Zandt County,  Texas",48467,119015,119354,128773,138385,146112
"Walker County,  Texas",48471,107926,165782,178952,164536,173722
"Ward County,  Texas",48475,83103,90735,90955,90793,95862
"Washington County,  Texas",48477,175874,173202,180536,187338,197798
"Wharton County,  Texas",48481,117748,122640,129830,133992,141474
"Wheeler County,  Texas",48483,96685,91688,90638,87864,92770
"Wilbarger County,  Texas",48487,79650,74092,77327,71441,75430
"Willacy County,  Texas",48489,57204,52045,60003,57844,61073
"Winkler County,  Texas",48495,52025,61691,68031,65584,69245
"Wood County,  Texas",48499,127877,124018,137541,143825,151855
"Yoakum County,  Texas",48501,85865,86813,105638,121754,128552
"Young County,  Texas",48503,94382,92748,94018,101252,106906
"Zapata County,  Texas",48505,63535,64341,73419,81379,85922
"Zavala County,  Texas",48507,48227,42293,51235,52300,55220
"Irion County,  Texas",48235,118452,152085,151341,120613,127790
"Tom Green County,  Texas",48451,126663,145852,170603,153443,162574
"Collin County,  Texas",48085,312168,347009,354520,366351,390471
"Dallas County,  Texas",48113,173851,187717,204323,223784,238517
"Delta County,  Texas",48119,101801,78412,81604,90734,96708
"Denton County,  Texas",48121,267811,300991,317674,325175,346583
"Ellis County,  Texas",48139,199248,204236,217542,238165,253845
"Hunt County,  Texas",48231,134024,147277,149989,137912,146991
"Johnson County,  Texas",48251,161330,165405,170495,178054,189777
"Kaufman County,  Texas",48257,173612,195547,197869,222439,237083
"Parker County,  Texas",48367,198771,231804,251162,258443,275458
"Rockwall County,  Texas",48397,278065,285759,296336,309449,329822
"Tarrant County,  Texas",48439,182674,199731,218583,235578,251088
"Wise County,  Texas",48497,175523,172485,182881,251925,268511
"Hidalgo County,  Texas",48215,86466,90603,90755,96313,100981
"Bastrop County,  Texas",48021,180312,191769,183934,198111,222454
"Caldwell County,  Texas",48055,157847,131768,136986,153650,172530
"Hays County,  Texas",48209,234325,248483,264647,284911,319919
"Travis County,  Texas",48453,318448,340711,380731,384444,431682
"Williamson County,  Texas",48491,260872,288873,303341,318549,357690
"Brazos County,  Texas",48041,203376,198557,236998,241846,251072
"Burleson County,  Texas",48051,118590,103654,112311,127128,131978
"Robertson County,  Texas",48395,117953,97820,106378,113258,117578
"McLennan County,  Texas",48309,138910,153093,172706,175379,186593
"Bowie County,  Texas",48037,108634,134733,130576,137125,140279
"Washington County,  Utah",49053,256858,304429,335190,345269,391253
"Beaver County,  Utah",49001,179170,157410,173619,187479,204269
"Box Elder County,  Utah",49003,200074,191927,203897,214925,234173
"Carbon County,  Utah",49007,147995,138816,146132,148632,161943
"Daggett County,  Utah",49009,208674,216827,226874,180301,196448
"Duchesne County,  Utah",49013,206165,190325,196918,196135,213700
"Emery County,  Utah",49015,158506,145548,149782,147999,161253
"Garfield County,  Utah",49017,187054,177715,193160,199408,217266
"Grand County,  Utah",49019,268517,246749,255542,261584,285011
"Iron County,  Utah",49021,198163,195668,216245,225482,245675
"Kane County,  Utah",49025,209390,203255,204004,216297,235669
"Millard County,  Utah",49027,165316,160616,156332,163622,178275
"Piute County,  Utah",49031,168181,153670,166532,189485,206454
"Rich County,  Utah",49033,207241,171409,206367,213764,232908
"San Juan County,  Utah",49037,166509,145976,143018,136914,149176
"Sanpete County,  Utah",49039,196371,181027,186825,199513,217381
"Sevier County,  Utah",49041,178454,163288,168250,173967,189547
"Uintah County,  Utah",49047,226232,208171,206045,207958,226582
"Wasatch County,  Utah",49051,378409,381825,417565,443257,482954
"Wayne County,  Utah",49055,237222,187867,189617,217142,236589
"Cache County,  Utah",49005,230304,233835,277583,300082,332136
"Juab County,  Utah",49023,214354,191596,217169,238032,264469
"Utah County,  Utah",49049,290494,324668,355785,386722,429673
"Davis County,  Utah",49011,280804,310730,340631,367345,408810
"Morgan County,  Utah",49029,335654,341715,385720,403284,448805
"Weber County,  Utah",49057,198255,242826,263552,292026,324989
"Salt Lake County,  Utah",49035,296672,330207,360046,389465,429361
"Summit County,  Utah",49043,643123,611053,640806,687941,758412
"Tooele County,  Utah",49045,229807,245165,255188,288080,317590
"Chittenden County,  Vermont",50007,294141,306451,314168,338049,357451
"Franklin County,  Vermont",50011,219234,218104,222588,226063,239038
"Grand Isle County,  Vermont",50013,282197,286529,282459,287337,303828
"Addison County,  Vermont",50001,243260,245383,255079,264190,281964
"Bennington County,  Vermont",50003,216607,215979,220492,219647,234424
"Caledonia County,  Vermont",50005,166478,170319,177364,179336,191401
"Essex County,  Vermont",50009,125884,133459,138875,144527,154250
"Lamoille County,  Vermont",50015,226243,233166,240422,238692,254750
"Orange County,  Vermont",50017,194156,194961,202144,203882,217599
"Orleans County,  Vermont",50019,157970,166799,171037,171401,182932
"Rutland County,  Vermont",50021,182983,183882,186222,187694,200322
"Washington County,  Vermont",50023,216504,224883,234728,240067,256218
"Windham County,  Vermont",50025,214454,219499,224077,226630,241877
"Windsor County,  Vermont",50027,221732,223951,228612,237528,253508
"Giles County,  Virginia",51071,111362,118490,128559,127661,134840
"Montgomery County,  Virginia",51121,220494,246605,229069,256875,271322
"Pulaski County,  Virginia",51155,144335,144465,153846,154912,163625
"Radford city,  Virginia",51750,158057,166197,174883,176984,186937
"Frederick County,  Virginia",51069,260221,250337,282919,276609,288173
"Winchester city,  Virginia",51840,243625,232838,252527,256499,267223
"Accomack County,  Virginia",51001,159910,160279,170686,181813,189443
"Alleghany County,  Virginia",51005,116830,115825,120515,126676,131992
"Augusta County,  Virginia",51015,205015,215846,232961,220229,229471
"Bath County,  Virginia",51017,160328,154060,156721,174934,182275
"Bland County,  Virginia",51021,104625,111441,105929,119798,124825
"Brunswick County,  Virginia",51025,109736,113072,114619,118739,123722
"Buchanan County,  Virginia",51027,74583,73308,73240,76514,79724
"Buckingham County,  Virginia",51029,137483,135095,131687,137894,143681
"Carroll County,  Virginia",51035,112553,109401,112963,119480,124494
"Charlotte County,  Virginia",51037,98366,109605,111101,118422,123391
"Culpeper County,  Virginia",51047,262450,271618,295132,316321,329595
"Dickenson County,  Virginia",51051,77295,79018,78309,85721,89318
"Essex County,  Virginia",51057,171489,180671,194583,214620,223626
"Floyd County,  Virginia",51063,161997,156812,175859,180649,188230
"Grayson County,  Virginia",51077,95445,97574,98377,108897,113467
"Greensville County,  Virginia",51081,104103,91150,99722,124560,129787
"Halifax County,  Virginia",51083,109215,112970,116584,122866,128022
"Henry County,  Virginia",51089,99514,96147,97446,99372,103543
"Highland County,  Virginia",51091,176393,187604,186307,184035,191759
"King George County,  Virginia",51099,294683,300065,311994,325845,339520
"Lancaster County,  Virginia",51103,238980,231344,245892,272190,283613
"Lee County,  Virginia",51105,81781,83300,91033,93235,97147
"Lunenburg County,  Virginia",51111,111197,110523,119998,126465,131772
"Madison County,  Virginia",51113,251601,261524,261719,272931,284385
"Mecklenburg County,  Virginia",51117,130807,127754,137791,140328,146217
"Middlesex County,  Virginia",51119,256400,253265,272995,277164,288796
"Northampton County,  Virginia",51131,167838,169048,169652,187105,194956
"Northumberland County,  Virginia",51133,252436,283343,295753,309653,322648
"Nottoway County,  Virginia",51135,138631,137440,144721,160224,166948
"Orange County,  Virginia",51137,241170,239807,241858,258644,269499
"Page County,  Virginia",51139,183590,175573,174514,179062,186576
"Patrick County,  Virginia",51141,115891,118272,120412,126994,132323
"Prince Edward County,  Virginia",51147,158033,157832,166962,169008,176100
"Rappahannock County,  Virginia",51157,382826,365624,372200,399714,416488
"Richmond County,  Virginia",51159,156468,166396,188169,190808,198815
"Rockbridge County,  Virginia",51163,196629,201063,220341,211233,220098
"Russell County,  Virginia",51167,100140,96758,100240,103711,108064
"Shenandoah County,  Virginia",51171,207478,207996,215065,225626,235094
"Smyth County,  Virginia",51173,92733,91355,98274,101384,105638
"Southampton County,  Virginia",51175,166587,176184,175342,188903,196831
