Location ID,Location,Value
ID-037,Custer County,39.1
ID-039,Elmore County,48.3
ID-041,Franklin County,45.3
ID-043,Fremont County,40.4
ID-045,Gem County,49.7
ID-047,Gooding County,50
ID-049,Idaho County,42.4
ID-051,Jefferson County,44.1
ID-053,Jerome County,50.2
ID-055,Kootenai County,46.3
ID-057,Latah County,47
ID-059,Lemhi County,40.1
ID-061,Lewis County,46
ID-063,Lincoln County,48
ID-065,Madison County,43.6
ID-067,Minidoka County,47.5
ID-069,Nez Perce County,49.4
ID-071,Oneida County,46.6
ID-073,Owyhee County,48.4
ID-075,Payette County,52.4
ID-077,Power County,46.2
ID-079,Shoshone County,43.4
ID-081,Teton County,40.8
ID-083,Twin Falls County,48.2
ID-085,Valley County,40.1
ID-087,Washington County,48.6
IL-001,Adams County,53.4
IL-003,Alexander County,58.3
IL-005,Bond County,55.2
IL-007,Boone County,48.7
IL-009,Brown County,53.3
IL-011,Bureau County,50.1
IL-013,Calhoun County,55.1
IL-015,Carroll County,49.2
IL-017,Cass County,53.2
IL-019,Champaign County,52.6
IL-021,Christian County,53.7
IL-023,Clark County,54.3
IL-025,Clay County,55.6
IL-027,Clinton County,56.1
IL-029,Coles County,53.7
IL-031,Cook County,50.8
IL-033,Crawford County,55.2
IL-035,Cumberland County,54.3
IL-037,DeKalb County,49.1
IL-039,De Witt County,52.6
IL-041,Douglas County,53.5
IL-043,DuPage County,50.3
IL-045,Edgar County,53.2
IL-047,Edwards County,56.7
IL-049,Effingham County,54.5
IL-051,Fayette County,54.7
IL-053,Ford County,51.7
IL-055,Franklin County,56.6
IL-057,Fulton County,52.4
IL-059,Gallatin County,57.1
IL-061,Greene County,54.6
IL-063,Grundy County,51.1
IL-065,Hamilton County,56.7
IL-067,Hancock County,52.6
IL-069,Hardin County,57.4
IL-071,Henderson County,51.6
IL-073,Henry County,50.4
IL-075,Iroquois County,51.7
IL-077,Jackson County,56.7
IL-079,Jasper County,54.9
IL-081,Jefferson County,56.2
IL-083,Jersey County,55.3
IL-085,Jo Daviess County,48.3
IL-087,Johnson County,57.2
IL-089,Kane County,49.4
IL-091,Kankakee County,51.3
IL-093,Kendall County,50.4
IL-095,Knox County,50.8
IL-097,Lake County,49.4
IL-099,LaSalle County,50.5
IL-101,Lawrence County,55.9
IL-103,Lee County,49.6
IL-105,Livingston County,51.2
IL-107,Logan County,53.1
IL-109,McDonough County,52
IL-111,McHenry County,48.8
IL-113,McLean County,51.9
IL-115,Macon County,53.2
IL-117,Macoupin County,54.3
IL-119,Madison County,55.8
IL-121,Marion County,55.6
IL-123,Marshall County,51.4
IL-125,Mason County,53.2
IL-127,Massac County,58.3
IL-129,Menard County,53.1
IL-131,Mercer County,50.8
IL-133,Monroe County,57.3
IL-135,Montgomery County,54.1
IL-137,Morgan County,53.5
IL-139,Moultrie County,53.4
IL-141,Ogle County,49.3
IL-143,Peoria County,52.2
IL-145,Perry County,56.4
IL-147,Piatt County,52.9
IL-149,Pike County,54.1
IL-151,Pope County,57.3
IL-153,Pulaski County,58.4
IL-155,Putnam County,50.9
IL-157,Randolph County,56.7
IL-159,Richland County,55.8
IL-161,Rock Island County,50.6
IL-163,St. Clair County,56.7
IL-165,Saline County,56.8
IL-167,Sangamon County,53.4
IL-169,Schuyler County,52.9
IL-171,Scott County,54
IL-173,Shelby County,53.8
IL-175,Stark County,50.7
IL-177,Stephenson County,48.4
IL-179,Tazewell County,52.8
IL-181,Union County,57.3
IL-183,Vermilion County,52.3
IL-185,Wabash County,56.5
IL-187,Warren County,50.9
IL-189,Washington County,56.1
IL-191,Wayne County,56.7
IL-193,White County,56.9
IL-195,Whiteside County,50.1
IL-197,Will County,50.9
IL-199,Williamson County,56.6
IL-201,Winnebago County,49
IL-203,Woodford County,51.9
IN-001,Adams County,51.6
IN-003,Allen County,51.1
IN-005,Bartholomew County,54.5
IN-007,Benton County,51.2
IN-009,Blackford County,52.3
IN-011,Boone County,52
IN-013,Brown County,53.8
IN-015,Carroll County,51.7
IN-017,Cass County,51.4
IN-019,Clark County,56.5
IN-021,Clay County,54.2
IN-023,Clinton County,51.8
IN-025,Crawford County,55.5
IN-027,Daviess County,55.6
IN-029,Dearborn County,54.8
IN-031,Decatur County,53.7
IN-033,DeKalb County,50.2
IN-035,Delaware County,53
IN-037,Dubois County,55.6
IN-039,Elkhart County,50.3
IN-041,Fayette County,52.9
IN-043,Floyd County,56.7
IN-045,Fountain County,52.2
IN-047,Franklin County,53.6
IN-049,Fulton County,50.9
IN-051,Gibson County,56.6
IN-053,Grant County,52.1
IN-055,Greene County,54.6
IN-057,Hamilton County,52.5
IN-059,Hancock County,53
IN-061,Harrison County,56.5
IN-063,Hendricks County,52.5
IN-065,Henry County,52.4
IN-067,Howard County,51.6
IN-069,Huntington County,51.4
IN-071,Jackson County,54.9
IN-073,Jasper County,51
IN-075,Jay County,52
IN-077,Jefferson County,55.6
IN-079,Jennings County,54.9
IN-081,Johnson County,53.4
IN-083,Knox County,55.9
IN-085,Kosciusko County,50.6
IN-087,LaGrange County,50.1
IN-089,Lake County,50.8
IN-091,LaPorte County,50.4
IN-093,Lawrence County,54.4
IN-095,Madison County,53
IN-097,Marion County,53.1
IN-099,Marshall County,50.4
IN-101,Martin County,55.2
IN-103,Miami County,51.5
IN-105,Monroe County,53.6
IN-107,Montgomery County,52.1
IN-109,Morgan County,53.3
IN-111,Newton County,51.2
IN-113,Noble County,50.2
IN-115,Ohio County,55.7
IN-117,Orange County,55
IN-119,Owen County,53.9
IN-121,Parke County,52.8
IN-123,Perry County,55.6
IN-125,Pike County,56.1
IN-127,Porter County,50.6
IN-129,Posey County,57.1
IN-131,Pulaski County,50.9
IN-133,Putnam County,52.6
IN-135,Randolph County,52.1
IN-137,Ripley County,54.2
IN-139,Rush County,53
IN-141,St. Joseph County,50.2
IN-143,Scott County,55.7
IN-145,Shelby County,53.7
IN-147,Spencer County,56.4
IN-149,Starke County,50.7
IN-151,Steuben County,49.6
IN-153,Sullivan County,55.3
IN-155,Switzerland County,56
IN-157,Tippecanoe County,51.8
IN-159,Tipton County,51.9
IN-161,Union County,52.9
IN-163,Vanderburgh County,57.2
IN-165,Vermillion County,52.9
IN-167,Vigo County,54.4
IN-169,Wabash County,51.4
IN-171,Warren County,51.8
IN-173,Warrick County,56.7
IN-175,Washington County,55.2
IN-177,Wayne County,52.3
IN-179,Wells County,51.6
IN-181,White County,51.2
IN-183,Whitley County,50.6
IA-001,Adair County,49.3
IA-003,Adams County,50.1
IA-005,Allamakee County,46.6
IA-007,Appanoose County,51
IA-009,Audubon County,48.6
IA-011,Benton County,47.5
IA-013,Black Hawk County,47.5
IA-015,Boone County,49.1
IA-017,Bremer County,47
IA-019,Buchanan County,46.7
IA-021,Buena Vista County,47.2
IA-023,Butler County,47.2
IA-025,Calhoun County,48.1
IA-027,Carroll County,48.7
IA-029,Cass County,49.7
IA-031,Cedar County,48.9
IA-033,Cerro Gordo County,46.2
IA-035,Cherokee County,47.1
IA-037,Chickasaw County,45.9
IA-039,Clarke County,50.7
IA-041,Clay County,46.6
IA-043,Clayton County,46.9
IA-045,Clinton County,49.8
IA-047,Crawford County,48.7
IA-049,Dallas County,49.9
IA-051,Davis County,51.1
IA-053,Decatur County,51.3
IA-055,Delaware County,47.1
IA-057,Des Moines County,51.3
IA-059,Dickinson County,45.6
IA-061,Dubuque County,47.6
IA-063,Emmet County,45.5
IA-065,Fayette County,46.2
IA-067,Floyd County,46.4
IA-069,Franklin County,46.9
IA-071,Fremont County,51.7
IA-073,Greene County,48.9
IA-075,Grundy County,47.7
IA-077,Guthrie County,49.2
IA-079,Hamilton County,47.5
IA-081,Hancock County,46
IA-083,Hardin County,47.7
IA-085,Harrison County,50
IA-087,Henry County,50.3
IA-089,Howard County,45
IA-091,Humboldt County,47.1
IA-093,Ida County,47.9
IA-095,Iowa County,49.2
IA-097,Jackson County,49
IA-099,Jasper County,49.6
IA-101,Jefferson County,49.9
IA-103,Johnson County,49.1
IA-105,Jones County,48.7
IA-107,Keokuk County,50
IA-109,Kossuth County,46.2
IA-111,Lee County,51.8
IA-113,Linn County,48.1
IA-115,Louisa County,50.6
IA-117,Lucas County,50.5
IA-119,Lyon County,46.2
IA-121,Madison County,50.1
IA-123,Mahaska County,50.3
IA-125,Marion County,50.3
IA-127,Marshall County,48.6
IA-129,Mills County,51.3
IA-131,Mitchell County,45.6
IA-133,Monona County,49.2
IA-135,Monroe County,50.7
IA-137,Montgomery County,50.7
IA-139,Muscatine County,49.7
IA-141,O'Brien County,46.5
IA-143,Osceola County,45.5
IA-145,Page County,51.6
IA-147,Palo Alto County,46.6
IA-149,Plymouth County,47.8
IA-151,Pocahontas County,47.1
IA-153,Polk County,50.1
IA-155,Pottawattamie County,50.5
IA-157,Poweshiek County,49.2
IA-159,Ringgold County,51
IA-161,Sac County,48.1
IA-163,Scott County,50.3
IA-165,Shelby County,49.1
IA-167,Sioux County,46.8
IA-169,Story County,48.9
IA-171,Tama County,48.1
IA-173,Taylor County,51
IA-175,Union County,50
IA-177,Van Buren County,50.6
IA-179,Wapello County,50.8
IA-181,Warren County,50.6
IA-183,Washington County,49.9
IA-185,Wayne County,50.7
IA-187,Webster County,47.7
IA-189,Winnebago County,45.3
IA-191,Winneshiek County,45.9
IA-193,Woodbury County,48.5
IA-195,Worth County,45.3
IA-197,Wright County,46.7
KS-001,Allen County,56.7
KS-003,Anderson County,56
KS-005,Atchison County,54.2
KS-007,Barber County,57.5
KS-009,Barton County,54.6
KS-011,Bourbon County,56.9
KS-013,Brown County,53.5
KS-015,Butler County,56.9
KS-017,Chase County,55.5
KS-019,Chautauqua County,57.9
KS-021,Cherokee County,58.3
KS-023,Cheyenne County,52.4
KS-025,Clark County,57.4
KS-027,Clay County,55.1
KS-029,Cloud County,54.6
KS-031,Coffey County,56.1
KS-033,Comanche County,57.5
KS-035,Cowley County,57.6
KS-037,Crawford County,57.5
KS-039,Decatur County,52.6
KS-041,Dickinson County,56.1
KS-043,Doniphan County,53.9
KS-045,Douglas County,55.7
KS-047,Edwards County,55.5
KS-049,Elk County,57.1
KS-051,Ellis County,54.4
KS-053,Ellsworth County,55.7
KS-055,Finney County,55.1
KS-057,Ford County,55.9
KS-059,Franklin County,56
KS-061,Geary County,55.5
KS-063,Gove County,53.9
KS-065,Graham County,53.7
KS-067,Grant County,55.5
KS-069,Gray County,55.5
KS-071,Greeley County,53
KS-073,Greenwood County,56.4
KS-075,Hamilton County,54.4
KS-077,Harper County,57.9
KS-079,Harvey County,56.9
KS-081,Haskell County,55.6
KS-083,Hodgeman County,55.7
KS-085,Jackson County,54.2
KS-087,Jefferson County,55
KS-089,Jewell County,53.3
KS-091,Johnson County,55.5
KS-093,Kearny County,54.9
KS-095,Kingman County,56.7
KS-097,Kiowa County,56.2
KS-099,Labette County,58.1
KS-101,Lane County,54.5
KS-103,Leavenworth County,55.3
KS-105,Lincoln County,55.2
KS-107,Linn County,56.4
KS-109,Logan County,53.7
KS-111,Lyon County,55.5
KS-113,McPherson County,56.4
KS-115,Marion County,56.1
KS-117,Marshall County,53.3
KS-119,Meade County,56.8
KS-121,Miami County,55.8
KS-123,Mitchell County,54.1
KS-125,Montgomery County,58.3
KS-127,Morris County,55.3
KS-129,Morton County,56.1
KS-131,Nemaha County,53.1
KS-133,Neosho County,57.3
KS-135,Ness County,54.9
KS-137,Norton County,52.5
KS-139,Osage County,56.1
KS-141,Osborne County,54
KS-143,Ottawa County,55.6
KS-145,Pawnee County,54.9
KS-147,Phillips County,53.1
KS-149,Pottawatomie County,54.4
KS-151,Pratt County,56.1
KS-153,Rawlins County,52.4
KS-155,Reno County,56.3
KS-157,Republic County,53.4
KS-159,Rice County,55.6
KS-161,Riley County,55
KS-163,Rooks County,53.9
KS-165,Rush County,54.6
KS-167,Russell County,55
KS-169,Saline County,56.5
KS-171,Scott County,54.3
