state,county,2016,2017,2018,2019,2020,2021
  California,Mendocino County,214.37,197259.7,244.92,404818.0,453728.0,469716.0
  California,Merced County,193.8,122052.6,231.41,274217.0,300743.0,311723.0
  California,Modoc County,214.37,98952.13,244.92,141299.0,148014.0,153230.0
  California,Mono County,214.37,202182.31,244.92,345987.0,328979.0,340571.0
  California,Monterey County,247.41,253267.38,287.73,591631.0,633613.0,652016.0
  California,Napa County,295.56,323231.79,336.22,678449.0,692866.0,710878.0
  California,Nevada County,214.37,219521.05,244.92,483364.0,510575.0,528567.0
  California,Orange County,312.81,357493.81,365.48,733573.0,757865.0,775421.0
  California,Placer County,234.52,240069.05,278.45,508631.0,570185.0,587792.0
  California,Plumas County,214.37,140334.64,244.92,248996.0,255077.0,264066.0
  California,Riverside County,254.76,177678.09,297.57,379304.0,410990.0,426782.0
  California,Sacramento County,234.52,177520.79,278.45,392408.0,416096.0,428944.0
  California,San Benito County,377.51,266148.49,449.12,486880.0,544240.0,550191.0
  California,San Bernardino County,254.76,159849.94,297.57,367350.0,395487.0,410684.0
  California,San Diego County,299.17,278595.63,345.29,626184.0,653744.0,673761.0
  California,San Francisco County,395.73,544006.03,471.44,1182325.0,1108718.0,1101163.0
  California,San Joaquin County,208.24,164765.68,252.48,378663.0,409813.0,426582.0
  California,San Luis Obispo County,297.94,287745.08,335.84,611028.0,658584.0,670143.0
  California,San Mateo County,395.73,530258.28,471.44,1195477.0,1123380.0,1115724.0
  California,Santa Barbara County,278.24,302898.89,307.91,641317.0,610287.0,630442.0
  California,Santa Clara County,377.51,475951.56,449.12,1089740.0,1120354.0,1132606.0
  California,Santa Cruz County,301.15,388780.11,347.75,834259.0,845289.0,868355.0
  California,Shasta County,197.83,130304.27,220.95,278911.0,297678.0,306753.0
  California,Sierra County,214.37,110121.19,244.92,183594.0,243602.0,252186.0
  California,Siskiyou County,214.37,112897.04,244.92,197480.0,209389.0,216767.0
  California,Solano County,234.96,203111.7,281.59,456998.0,483494.0,496366.0
  California,Sonoma County,281.84,298704.04,335.06,668245.0,678041.0,689788.0
  California,Stanislaus County,211.13,142773.37,252.32,332315.0,363641.0,375280.0
  California,Sutter County,201.16,137553.44,242.19,341166.0,333196.0,344068.0
  California,Tehama County,214.37,110831.3,244.92,215606.0,256340.0,265373.0
  California,Trinity County,214.37,169967.19,244.92,301679.0,302871.0,313544.0
  California,Tulare County,180.38,97845.56,208.34,232511.0,260297.0,270586.0
  California,Tuolumne County,214.37,167514.36,244.92,295637.0,304450.0,315178.0
  California,Ventura County,278.67,297003.06,309.95,633880.0,658467.0,671514.0
  California,Yolo County,234.52,215744.64,278.45,480929.0,500445.0,515898.0
  California,Yuba County,201.16,123582.48,242.19,296798.0,307928.0,317975.0
  Colorado,Adams County,280.96,147683.09,339.55,358366.0,376965.0,386927.0
  Colorado,Alamosa County,225.2,87170.11,260.33,167802.0,166196.0,169946.0
  Colorado,Arapahoe County,280.96,178687.65,339.55,409502.0,431402.0,442803.0
  Colorado,Archuleta County,225.2,159503.74,260.33,314829.0,331758.0,339244.0
  Colorado,Baca County,225.2,44276.42,260.33,87577.0,88110.0,90098.0
  Colorado,Bent County,225.2,39752.01,260.33,85872.0,85472.0,87401.0
  Colorado,Boulder County,284.67,257862.63,337.32,570674.0,610304.0,615115.0
  Colorado,Broomfield County,280.96,210613.33,339.55,463977.0,505492.0,518851.0
  Colorado,Chaffee County,225.2,165536.98,260.33,357872.0,377554.0,386074.0
  Colorado,Cheyenne County,225.2,49766.54,260.33,110803.0,113963.0,116534.0
  Colorado,Clear Creek County,280.96,209447.73,339.55,372559.0,397563.0,408069.0
  Colorado,Conejos County,225.2,64728.07,260.33,125292.0,127153.0,130022.0
  Colorado,Costilla County,225.2,61831.97,260.33,120605.0,119239.0,121929.0
  Colorado,Crowley County,225.2,46025.77,260.33,76390.0,83784.0,85674.0
  Colorado,Custer County,225.2,133079.9,260.33,279351.0,297464.0,304176.0
  Colorado,Delta County,225.2,116550.06,260.33,233325.0,254833.0,260584.0
  Colorado,Denver County,280.96,194589.1,339.55,454062.0,470286.0,482715.0
  Colorado,Dolores County,225.2,71967.02,260.33,123481.0,123037.0,125814.0
  Colorado,Douglas County,280.96,244995.17,339.55,530870.0,549841.0,564372.0
  Colorado,Eagle County,225.2,253133.71,260.33,573831.0,593344.0,606734.0
  Colorado,Elbert County,280.96,248889.0,339.55,444044.0,487206.0,500082.0
  Colorado,El Paso County,201.75,136681.18,245.95,311424.0,352362.0,362894.0
  Colorado,Fremont County,225.2,95736.85,260.33,173982.0,183606.0,187750.0
  Colorado,Garfield County,225.2,173560.6,260.33,360003.0,380509.0,389095.0
  Colorado,Gilpin County,280.96,186519.65,339.55,352105.0,371395.0,381210.0
  Colorado,Grand County,225.2,170242.43,260.33,315149.0,325216.0,332554.0
  Colorado,Gunnison County,225.2,192684.46,260.33,361601.0,387579.0,396324.0
  Colorado,Hinsdale County,225.2,166622.69,260.33,352758.0,369323.0,377657.0
  Colorado,Huerfano County,225.2,89161.01,260.33,167483.0,170522.0,174370.0
  Colorado,Jackson County,225.2,95435.29,260.33,208181.0,207560.0,212243.0
  Colorado,Jefferson County,280.96,202877.61,339.55,459385.0,484684.0,497493.0
  Colorado,Kiowa County,225.2,50550.69,260.33,85339.0,91276.0,93335.0
  Colorado,Kit Carson County,225.2,73897.92,260.33,150010.0,129158.0,132072.0
  Colorado,Lake County,225.2,101769.56,260.33,227998.0,244914.0,250441.0
  Colorado,La Plata County,225.2,200829.12,260.33,399955.0,417441.0,426861.0
  Colorado,Larimer County,249.9,183490.45,297.76,413805.0,435114.0,444272.0
  Colorado,Las Animas County,225.2,90970.88,260.33,156722.0,159442.0,163040.0
