,County & State,FIPS,2017,2018,2019,2020,2021
335,"Hardee County,  Florida",12049,98070,85669,86460,87657,93400
336,"Hendry County,  Florida",12051,87984,84086,86671,99324,105831
337,"Hernando County,  Florida",12053,144087,156670,165005,183418,199202
338,"Highlands County,  Florida",12055,102540,105715,111827,152297,162274
339,"Hillsborough County,  Florida",12057,217558,234511,250252,260152,282541
340,"Holmes County,  Florida",12059,103417,97485,98509,97432,103815
341,"Indian River County,  Florida",12061,212101,213941,231079,249338,269666
342,"Jackson County,  Florida",12063,111925,100122,104428,104054,110871
343,"Jefferson County,  Florida",12065,154346,138207,129203,139549,146888
344,"Lafayette County,  Florida",12067,133434,106980,111932,110044,117254
345,"Lake County,  Florida",12069,182980,201702,216926,234744,249549
346,"Lee County,  Florida",12071,215111,236931,246655,257102,280501
347,"Leon County,  Florida",12073,195505,211246,230900,236136,248554
348,"Levy County,  Florida",12075,107671,93581,105062,111096,118374
349,"Liberty County,  Florida",12077,89928,65834,70394,78933,84105
350,"Madison County,  Florida",12079,95397,91999,92379,93648,99783
351,"Manatee County,  Florida",12081,231753,249377,267768,287282,311461
352,"Marion County,  Florida",12083,136128,146936,162367,173058,183092
353,"Martin County,  Florida",12085,283150,307053,313965,325443,352422
354,"Miami-Dade County,  Florida",12086,293722,310009,332349,347488,370296
355,"Monroe County,  Florida",12087,453899,541973,572769,594263,633196
356,"Nassau County,  Florida",12089,245873,252896,241197,256215,275201
357,"Okaloosa County,  Florida",12091,230184,225900,255441,258032,277951
358,"Okeechobee County,  Florida",12093,113990,94848,94915,111411,118710
359,"Orange County,  Florida",12095,224980,255286,275411,279742,297385
360,"Osceola County,  Florida",12097,189587,215534,232770,242821,258135
361,"Palm Beach County,  Florida",12099,287075,304413,314217,327301,348784
362,"Pasco County,  Florida",12101,163703,177310,187823,204839,222467
363,"Pinellas County,  Florida",12103,202697,216615,232277,246617,267841
364,"Polk County,  Florida",12105,144024,165658,173351,188884,201229
365,"Putnam County,  Florida",12107,91134,91366,95761,105525,112439
366,"St. Johns County,  Florida",12109,314396,321631,346861,354494,380762
367,"St. Lucie County,  Florida",12111,181356,196501,225903,238954,258763
368,"Santa Rosa County,  Florida",12113,188257,206893,220501,237145,254717
369,"Sarasota County,  Florida",12115,259826,269741,275461,290667,315131
370,"Seminole County,  Florida",12117,231233,257464,284344,290336,308647
371,"Sumter County,  Florida",12119,269637,273254,269737,296396,315814
372,"Suwannee County,  Florida",12121,112532,97485,100623,106471,113447
373,"Taylor County,  Florida",12123,101717,89572,87622,89444,95304
374,"Union County,  Florida",12125,106334,93898,110347,124444,132597
375,"Volusia County,  Florida",12127,170519,188262,205404,220890,237303
376,"Wakulla County,  Florida",12129,139505,140306,158572,150525,158441
377,"Walton County,  Florida",12131,206350,240443,270583,256666,273481
378,"Washington County,  Florida",12133,100744,108352,116055,118979,126773
379,"Appling County,  Georgia",13001,80918,75946,81130,84687,89447
380,"Atkinson County,  Georgia",13003,83268,65834,64241,66208,69929
381,"Bacon County,  Georgia",13005,70285,77105,78030,85638,90451
382,"Baker County,  Georgia",13007,79912,81503,77400,84797,89848
383,"Baldwin County,  Georgia",13009,113822,114604,120252,127031,134171
384,"Banks County,  Georgia",13011,136094,135777,152640,159554,168522
385,"Barrow County,  Georgia",13013,159825,170341,180004,193796,207226
386,"Bartow County,  Georgia",13015,163913,180143,189147,193796,207226
387,"Ben Hill County,  Georgia",13017,90543,85531,85620,88066,93016
388,"Berrien County,  Georgia",13019,94348,91325,91178,92924,98147
389,"Bibb County,  Georgia",13021,111589,123633,130793,133061,141367
390,"Bleckley County,  Georgia",13023,97481,104071,104646,108024,114095
391,"Brantley County,  Georgia",13025,76428,73226,69770,76663,80311
392,"Brooks County,  Georgia",13027,96573,94974,100285,111049,116787
393,"Bryan County,  Georgia",13029,230057,211177,222746,233503,246608
394,"Bulloch County,  Georgia",13031,149921,142623,156809,151318,159823
395,"Burke County,  Georgia",13033,88079,91741,93883,91938,98202
396,"Butts County,  Georgia",13035,147280,132330,129501,139508,149175
397,"Calhoun County,  Georgia",13037,63346,51614,52377,54381,57438
398,"Camden County,  Georgia",13039,169110,162742,170812,174972,184805
399,"Candler County,  Georgia",13043,99608,93326,97485,101477,107180
400,"Carroll County,  Georgia",13045,142344,144638,152466,162759,174038
401,"Catoosa County,  Georgia",13047,149454,145614,151832,174200,186108
402,"Charlton County,  Georgia",13049,91773,86585,88292,87961,92904
403,"Chatham County,  Georgia",13051,192879,201545,224429,209829,221605
404,"Chattahoochee County,  Georgia",13053,66197,84209,74754,74788,78270
405,"Chattooga County,  Georgia",13055,71517,72154,74396,76240,80525
406,"Cherokee County,  Georgia",13057,253359,273483,280691,303214,324226
407,"Clarke County,  Georgia",13059,171316,182493,210130,206972,221451
408,"Clay County,  Georgia",13061,77672,63095,70441,75395,79632
409,"Clayton County,  Georgia",13063,103523,112725,124078,151081,161550
410,"Clinch County,  Georgia",13065,64913,66466,61035,64413,68033
411,"Cobb County,  Georgia",13067,254609,276968,296320,298059,318714
412,"Coffee County,  Georgia",13069,93341,92273,98981,106229,112199
413,"Colquitt County,  Georgia",13071,89088,89008,88933,90390,95470
414,"Columbia County,  Georgia",13073,197070,213179,232304,246895,263718
415,"Cook County,  Georgia",13075,96250,92484,94171,92396,97589
416,"Coweta County,  Georgia",13077,212723,232858,248475,243245,260101
417,"Crawford County,  Georgia",13079,90989,98253,96972,97093,103154
418,"Crisp County,  Georgia",13081,109904,88376,91071,87749,92681
419,"Dade County,  Georgia",13083,134860,129353,135187,131022,139977
420,"Dawson County,  Georgia",13085,243483,220333,229125,242298,259088
